dx_id	name	created_by	created
project-FqpyX1Q4yQxxGGX63gk5Zj19	002_200611_K00178_0266_AHGVYHBBXY_clinicalgenetics	user-garnerm	2020-06-26
project-Fy46F3j4FxJzzjzV7ZFP5Xbq	003_201015_dias_batch_debug	user-garnerm	2020-10-15
project-G2fzj6047fPXYy0KGqv36xVV	002_210517_M03595_0328_000000000-JMFTH_FHC	user-garnerm	2021-05-26
project-G2g1x6Q44Y482v8VGZfGz6zk	003_210526_FH-contamination-investigation	user-garnerm	2021-05-26
project-Fv84q784xFQxZjgG3fP2Y1BG	002_200710_K00178_0270_BHH5K5BBXY_clinicalgenetics	user-garnerm	2020-07-16
project-Fvg8Bqj4vk6Q1k4g3Zqxpf92	002_200723_K00178_0272_BHH7CCBBXY_clinicalgenetics	user-garnerm	2020-08-08
project-G196bVQ4GF2VgqZx971ZpjKz	002_210312_K00178_0316_BHLFGCBBXY_clinicalgenetics	user-garnerm	2021-03-17
project-G1kV0f84GpK37pb7PZ2YBy8P	002_210401_K00178_0321_AHLFKYBBXY_clinicalgenetics	user-toutoua	2021-04-11
project-G0Zj96Q42PQgk7891FZq8kg9	002_210118_K00178_0305_AHKMMTBBXY_clinicalgenetics	user-garnerm	2021-02-14
project-Fz31G2Q4J9JPxy4y8B5V0Zpg	002_201123_K00178_0298_AHK72MBBXY_clinicalgenetics	user-sophier	2020-12-01
project-Fy6pgK04qvFY38kY7pv17yx0	002_201009_K00178_0287_BHJY27BBXY_clinicalgenetics	user-ykim	2020-10-19
project-G0pV1qQ49V7ZJjGqGQ5z72zJ	003_210223_dias_batch_running_v1.4.2	user-ykim	2021-02-23
project-FyFB76j4ZyzqbfYZ1pBJZ58B	002_201016_K00178_0290_AHJWWHBBXY_clinicalgenetics	user-ykim	2020-10-26
project-FxQFpvj4P4pQGVjV1jbpJf8X	002_200910_K00178_0279_BHH5WKBBXY_clinicalgenetics	user-ykim	2020-09-15
project-FxbQ1XQ4fXqfXQ4x25QQ8Jvj	002_200918_K00178_0281_AHH5G5BBXY_clinicalgenetics	user-ykim	2020-09-23
project-FyFB8Z84138V75FBKY7j19vj	002_201016_K00178_0291_BHJTYNBBXY_clinicalgenetics	user-ykim	2020-10-26
project-Fx96xBj4zpjP540x7g801JQG	002_200821_K00178_0276_BHH7CKBBXY_clinicalgenetics	user-garnerm	2020-09-04
project-G5fg0p04020pjQqpBPqzB2Fy	002_211013_A01303_0032_BHLF3JDRXY_CEN	user-aishadahir	2021-10-18
project-G95Gpjj4z4FG2F2j9XvxGv39	002_220330_A01295_0076_BHC3LHDMXY_TWE	user-ykim	2022-04-04
project-G95G5G04JbZFP2B7BkFbqfBf	002_220404_vaf_checks_TSOE	user-garnerm	2022-04-04
project-G91X7504bVB2809Q0YjVv4kX	002_220328_A01295_0074_BH3V5FDRX2_CEN	user-ykim	2022-03-29
project-G8gZjX04xQYV9q053G0yZjPv	002_220311_A01295_0065_BH32LWDRX2_CEN	user-aishadahir	2022-03-14
project-G920zvQ4X0g4X1BGKyPqg4pF	002_220328_A01295_0075_AH3T3VDRX2_MYE	user-aishadahir	2022-03-30
project-G80P6zj4K7jPVGqY4BFv5GXP	002_220204_A01295_0053_BHYKH3DRXY_CEN	user-toutoua	2022-02-07
